subject,experiment,wrote_notes,enc_modality,ret_modality,plis,pli_recency
MTK0044,1,0,a,a,0.0,
MTK0045,1,0,v,v,0.42857142857142855,0.25
MTK0045,1,0,v,a,0.2857142857142857,0.0
MTK0045,1,0,a,v,0.25,0.0
MTK0045,1,0,a,a,0.14285714285714285,1.0
MTK0047,1,0,v,v,0.0,
MTK0047,1,0,v,a,0.0,
MTK0047,1,0,a,v,0.0,
MTK0047,1,0,a,a,0.0,
MTK0048,1,0,v,v,0.0,
MTK0048,1,0,v,a,0.0,
MTK0048,1,0,a,v,0.0,
MTK0048,1,0,a,a,0.14285714285714285,1.0
MTK0049,1,0,v,v,0.0,
MTK0049,1,0,v,a,0.0,
MTK0049,1,0,a,v,0.125,0.0
MTK0049,1,0,a,a,0.14285714285714285,0.0
MTK0050,1,0,v,v,0.0,
MTK0050,1,0,v,a,0.16666666666666666,0.0
MTK0050,1,0,a,v,0.0,
MTK0050,1,0,a,a,0.14285714285714285,0.0
MTK0051,1,0,v,v,0.0,
MTK0051,1,0,v,a,0.0,
MTK0051,1,0,a,v,0.0,
MTK0051,1,0,a,a,0.14285714285714285,0.0
MTK0052,1,0,v,v,0.0,
MTK0052,1,0,v,a,0.0,
MTK0052,1,0,a,v,0.0,
MTK0052,1,0,a,a,0.2857142857142857,1.0
MTK0053,1,0,v,v,0.0,
MTK0053,1,0,v,a,0.25,0.0
MTK0053,1,0,a,v,0.0,
MTK0053,1,0,a,a,0.0,
MTK0054,1,0,v,v,0.0,
MTK0054,1,0,v,a,0.0,
MTK0054,1,0,a,v,0.0,
MTK0054,1,0,a,a,0.14285714285714285,0.0
MTK0056,1,0,v,v,0.14285714285714285,1.0
MTK0056,1,0,v,a,0.0,
MTK0056,1,0,a,v,0.0,
MTK0056,1,0,a,a,0.0,
MTK0057,1,0,v,v,0.0,
MTK0057,1,0,v,a,0.42857142857142855,0.75
MTK0057,1,0,a,v,0.125,0.0
MTK0057,1,0,a,a,0.42857142857142855,0.4
MTK0059,1,0,v,v,0.0,
MTK0059,1,0,v,a,0.125,0.0
MTK0059,1,0,a,v,0.14285714285714285,1.0
MTK0059,1,0,a,a,0.2857142857142857,0.4444444444444445
MTK0060,1,0,v,v,0.0,
MTK0060,1,0,v,a,0.0,
MTK0060,1,0,a,v,0.3333333333333333,0.375
MTK0060,1,0,a,a,0.14285714285714285,0.0
MTK0062,1,0,v,v,0.0,
MTK0062,1,0,v,a,0.5,0.4255319148936171
MTK0062,1,0,a,v,0.0,
MTK0062,1,0,a,a,0.2857142857142857,0.0
MTK0063,1,0,v,v,0.14285714285714285,0.0
MTK0063,1,0,v,a,0.0,
MTK0063,1,0,a,v,0.14285714285714285,1.0
MTK0063,1,0,a,a,0.0,
MTK0064,1,0,v,v,0.14285714285714285,0.0
MTK0064,1,0,v,a,0.0,
MTK0064,1,0,a,v,0.0,
MTK0064,1,0,a,a,0.2857142857142857,0.0
MTK0065,1,0,v,v,0.0,
MTK0065,1,0,v,a,0.0,
MTK0065,1,0,a,v,0.0,
MTK0065,1,0,a,a,0.0,
MTK0066,1,0,v,v,0.14285714285714285,0.0
MTK0066,1,0,v,a,0.0,
MTK0066,1,0,a,v,0.0,
MTK0066,1,0,a,a,0.2857142857142857,1.0
MTK0067,1,0,v,v,0.42857142857142855,0.6666666666666666
